Colony ID,Tank ID,Experiment period,Treatment,Sample Mean Gray Value,Standard Mean Gray Value,Normalized mean gray value
ATEN19,BT2,Pre-exposure,Control,119.748,206.538,57.97867704732301
ATEN19,BT3,Pre-exposure,Heat-stressed,101.675,207.104,49.09369205809641
ATEN19,BT3,Pre-exposure,Heat-stressed,103.308,207.838,49.706021035614285
ATEN19,BT4,Pre-exposure,Heat-stressed,94.844,206.149,46.00749943002391
ATEN19,BT4,Pre-exposure,Heat-stressed,86.506,206.028,41.98749684508902
ATEN19,BT5,Pre-exposure,Heat-stressed,82.437,164.477,50.12068556697896
ATEN19,BT5,Pre-exposure,Heat-stressed,124.426,192.584,64.60869023387197
ATEN19,BT6,Pre-exposure,Control,91.724,195.734,46.861557011045605
ATEN19,BT6,Pre-exposure,Control,101.545,196.842,51.58705967222442
ATEN19,BT7,Pre-exposure,Heat-stressed,115.608,196.045,58.970134407916554
ATEN19,BT7,Pre-exposure,Heat-stressed,100.64,196.733,51.155627169819
ATEN19,BT8,Pre-exposure,Control,98.878,196.407,50.34341953189041
ATEN19,BT8,Pre-exposure,Control,146.35,197.047,74.27162047633306
ATEN20,BT1,Pre-exposure,Control,61.341,173.069,35.44308917252656
ATEN20,BT1,Pre-exposure,Control,61.929,209.15,29.609849390389677
ATEN20,BT2,Pre-exposure,Control,78.41,209.556,37.41720590200232
ATEN20,BT2,Pre-exposure,Control,105.888,209.442,50.55719483198212
ATEN20,BT3,Pre-exposure,Heat-stressed,113.191,209.022,54.15267292438117
ATEN20,BT3,Pre-exposure,Heat-stressed,134.72,204.334,65.93126939226951
ATEN20,BT4,Pre-exposure,Heat-stressed,121.564,209.435,58.04378446773462
ATEN20,BT4,Pre-exposure,Heat-stressed,89.053,209.126,42.58341860887695
ATEN20,BT5,Pre-exposure,Heat-stressed,65.974,172.236,38.30441951740635
ATEN20,BT5,Pre-exposure,Heat-stressed,105.499,205.068,51.44586186045604
ATEN20,BT6,Pre-exposure,Control,81.19,206.717,39.27591828441782
ATEN20,BT6,Pre-exposure,Control,91.807,207.254,44.29685313673078
ATEN20,BT7,Pre-exposure,Heat-stressed,116.777,206.066,56.669707763532074
ATEN20,BT7,Pre-exposure,Heat-stressed,108.586,207.853,52.24172852929715
ATEN20,BT8,Pre-exposure,Control,105.599,207.673,50.84869000784889
ATEN20,BT8,Pre-exposure,Control,102.471,208.069,49.24856658127833
ATEN21,BT1,Pre-exposure,Control,90.405,161.454,55.994277007692595
ATEN21,BT1,Pre-exposure,Control,111.149,191.345,58.08826987901434
ATEN21,BT2,Pre-exposure,Control,117.567,194.3,60.50797735460627
ATEN21,BT2,Pre-exposure,Control,105.903,193.32,54.78119180633148
ATEN21,BT3,Pre-exposure,Heat-stressed,91.691,192.577,47.61264325438656
ATEN21,BT3,Pre-exposure,Heat-stressed,81.251,195.256,41.61254967837096
ATEN21,BT4,Pre-exposure,Heat-stressed,79.066,193.532,40.85422565777236
ATEN21,BT4,Pre-exposure,Heat-stressed,109.026,195.048,55.89700996677741
ATEN21,BT5,Pre-exposure,Heat-stressed,84.617,170.826,49.53402877782071
ATEN21,BT5,Pre-exposure,Heat-stressed,71.555,204.652,34.96423196450561
ATEN21,BT6,Pre-exposure,Control,91.009,205.34,44.32112593746956
ATEN21,BT6,Pre-exposure,Control,105.683,201.988,52.321425035150604
ATEN21,BT7,Pre-exposure,Heat-stressed,100.75,204.286,49.31811284180022
ATEN21,BT7,Pre-exposure,Heat-stressed,135.416,204.217,66.30985667206942
ATEN21,BT8,Pre-exposure,Control,91.17,204.696,44.53921913471685
ATEN21,BT8,Pre-exposure,Control,103.566,205.797,50.32434875143953
ATEN22,BT1,Pre-exposure,Control,48.518,172.256,28.166217722459596
ATEN22,BT1,Pre-exposure,Control,51.858,198.212,26.16289629285815
ATEN22,BT2,Pre-exposure,Control,68.266,195.006,35.00712798580557
ATEN22,BT2,Pre-exposure,Control,100.331,199.705,50.23960341503718
ATEN22,BT3,Pre-exposure,Heat-stressed,71.192,199.627,35.66251058223586
ATEN22,BT3,Pre-exposure,Heat-stressed,90.788,200.103,45.370634123426434
ATEN22,BT4,Pre-exposure,Heat-stressed,95.871,199.205,48.12680404608318
ATEN22,BT4,Pre-exposure,Heat-stressed,83.2,196.649,42.30888537444889
ATEN22,BT5,Pre-exposure,Heat-stressed,41.272,168.145,24.545481578399595
ATEN22,BT5,Pre-exposure,Heat-stressed,73.663,209.943,35.08714270063779
ATEN22,BT6,Pre-exposure,Control,66.95,207.927,32.19880054057434
ATEN22,BT6,Pre-exposure,Control,79.258,207.699,38.16002965830359
ATEN22,BT7,Pre-exposure,Heat-stressed,99.895,207.173,48.218155840770756
ATEN22,BT7,Pre-exposure,Heat-stressed,63,209.64,30.05151688609044
ATEN22,BT8,Pre-exposure,Control,99.09,202.662,48.894217958966166
ATEN22,BT8,Pre-exposure,Control,89.519,209.406,42.74901387734831
ATEN23,BT1,Pre-exposure,Control,69.103,164.527,42.001008952937816
ATEN23,BT1,Pre-exposure,Control,75.261,198.42,37.93014817054733
ATEN23,BT2,Pre-exposure,Control,109.81,198.723,55.25782118828722
ATEN23,BT2,Pre-exposure,Control,101.073,201.372,50.19218163399082
ATEN23,BT3,Pre-exposure,Heat-stressed,108.717,202.615,53.65693556745552
ATEN23,BT3,Pre-exposure,Heat-stressed,117.456,184.28,63.737790319079664
ATEN23,BT4,Pre-exposure,Heat-stressed,92.798,196.604,47.20046387662509
