Species,Day elapsed,Colony,N fragment,Bleached fragments,Healthy fragments,Fragment ID,Fragment #,status
A. tenuis,8,ATEN20,8,0,8,ATEN20_1,1,1
A. tenuis,8,ATEN20,8,0,8,ATEN20_2,2,1
A. tenuis,8,ATEN20,8,0,8,ATEN20_3,3,1
A. tenuis,8,ATEN20,8,0,8,ATEN20_4,4,1
A. tenuis,8,ATEN20,8,0,8,ATEN20_5,5,1
A. tenuis,8,ATEN20,8,0,8,ATEN20_6,6,1
A. tenuis,8,ATEN20,8,0,8,ATEN20_7,7,1
A. tenuis,8,ATEN20,8,0,8,ATEN20_8,8,1
A. tenuis,8,ATEN21,7,0,7,ATEN21_1,1,1
A. tenuis,8,ATEN21,7,0,7,ATEN21_2,2,1
A. tenuis,8,ATEN21,7,0,7,ATEN21_3,3,1
A. tenuis,8,ATEN21,7,0,7,ATEN21_4,4,1
A. tenuis,8,ATEN21,7,0,7,ATEN21_5,5,1
A. tenuis,8,ATEN21,7,0,7,ATEN21_6,6,1
A. tenuis,8,ATEN21,7,0,7,ATEN21_7,7,1
A. tenuis,8,ATEN22,8,0,8,ATEN22_1,1,1
A. tenuis,8,ATEN22,8,0,8,ATEN22_2,2,1
A. tenuis,8,ATEN22,8,0,8,ATEN22_3,3,1
A. tenuis,8,ATEN22,8,0,8,ATEN22_4,4,1
A. tenuis,8,ATEN22,8,0,8,ATEN22_5,5,1
A. tenuis,8,ATEN22,8,0,8,ATEN22_6,6,1
A. tenuis,8,ATEN22,8,0,8,ATEN22_7,7,1
A. tenuis,8,ATEN22,8,0,8,ATEN22_8,8,1
A. tenuis,8,ATEN23,8,3,5,ATEN23_1,1,1
A. tenuis,8,ATEN23,8,3,5,ATEN23_2,2,1
A. tenuis,8,ATEN23,8,3,5,ATEN23_3,3,1
A. tenuis,8,ATEN23,8,3,5,ATEN23_4,4,1
A. tenuis,8,ATEN23,8,3,5,ATEN23_5,5,1
A. tenuis,8,ATEN23,8,3,5,ATEN23_6,6,2
A. tenuis,8,ATEN23,8,3,5,ATEN23_7,7,2
A. tenuis,8,ATEN23,8,3,5,ATEN23_8,8,2
A. tenuis,8,ATEN26,8,1,7,ATEN26_1,1,1
A. tenuis,8,ATEN26,8,1,7,ATEN26_2,2,1
A. tenuis,8,ATEN26,8,1,7,ATEN26_3,3,1
A. tenuis,8,ATEN26,8,1,7,ATEN26_4,4,1
A. tenuis,8,ATEN26,8,1,7,ATEN26_5,5,1
A. tenuis,8,ATEN26,8,1,7,ATEN26_6,6,1
A. tenuis,8,ATEN26,8,1,7,ATEN26_7,7,1
A. tenuis,8,ATEN26,8,1,7,ATEN26_8,8,2
A. tenuis,8,ATEN27,8,1,7,ATEN27_1,1,1
A. tenuis,8,ATEN27,8,1,7,ATEN27_2,2,1
A. tenuis,8,ATEN27,8,1,7,ATEN27_3,3,1
A. tenuis,8,ATEN27,8,1,7,ATEN27_4,4,1
A. tenuis,8,ATEN27,8,1,7,ATEN27_5,5,1
A. tenuis,8,ATEN27,8,1,7,ATEN27_6,6,1
A. tenuis,8,ATEN27,8,1,7,ATEN27_7,7,1
A. tenuis,8,ATEN27,8,1,7,ATEN27_8,8,2
A. tenuis,8,ATEN28,8,0,8,ATEN28_1,1,1
A. tenuis,8,ATEN28,8,0,8,ATEN28_2,2,1
